2020-11-11T13:40:22.326Z - MSG - Startup serviço
2020-11-11T13:40:22.517Z - AVISO - Setup cliente 43854116
2020-11-11T13:40:33.341Z - AVISOAPI - Ocorr ID: 166 - Ret API: Senha não confere. - Prot: B3D5F09B7A674C45E053C24DEC0A36E5
2020-11-11T13:40:38.142Z - SUCESSO - Ocorr ID: 170 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F09B7A684C45E053C24DEC0A36E5
2020-11-11T13:40:38.788Z - SUCESSO - Ocorr ID: 171 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F0EEB6B14C47E053C24DEC0A45CC
2020-11-11T13:40:40.010Z - SUCESSO - Ocorr ID: 172 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F1014EC74C50E053C24DEC0A330D
2020-11-11T13:40:41.013Z - SUCESSO - Ocorr ID: 169 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F110ABA94C53E053C24DEC0AD65F
2020-11-11T13:40:41.894Z - SUCESSO - Ocorr ID: 1 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F11DA49C4C5AE053C24DEC0A6CB2
2020-11-11T13:40:42.144Z - SUCESSO - Ocorr ID: 168 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F1218BE04C55E053C24DEC0A4B98
2020-11-11T13:40:42.721Z - SUCESSO - Ocorr ID: 13 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F12A5C294C58E053C24DEC0AF99B
2020-11-11T13:40:43.445Z - SUCESSO - Ocorr ID: 165 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F1357DB64C5FE053C24DEC0A9BA4
2020-11-11T13:40:43.468Z - AVISOAPI - Ocorr ID: 178 - Ret API: Senha não confere. - Prot: B3D5F1357DB74C5FE053C24DEC0A9BA4
2020-11-11T13:40:43.682Z - SUCESSO - Ocorr ID: 147 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F13949AA4C5DE053C24DEC0A0D15
2020-11-11T13:40:50.620Z - SUCESSO - Ocorr ID: 165 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F12A5C2A4C58E053C24DEC0AF99B
2020-11-11T13:40:50.795Z - SUCESSO - Ocorr ID: 174 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F1014EC84C50E053C24DEC0A330D
2020-11-11T13:40:52.487Z - SUCESSO - Ocorr ID: 179 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F11DA49D4C5AE053C24DEC0A6CB2
